,$index_{max}$,$max$,index_{min},min,avg
0,1.0,5.645,1.0,5.645,5.645
1,1.0,5.645,2.0,5.216,5.431
2,1.0,5.645,3.0,3.842,4.901
3,1.0,5.645,4.0,3.62,4.581
4,1.0,5.645,4.0,3.62,4.405
5,1.0,5.645,4.0,3.62,4.316
6,1.0,5.645,4.0,3.62,4.272
7,1.0,5.04,1.0,5.04,5.04
8,2.0,5.195,1.0,5.04,5.118
9,2.0,5.195,3.0,3.91,4.715
10,2.0,5.195,4.0,3.756,4.475
11,2.0,5.195,5.0,3.611,4.303
12,2.0,5.195,5.0,3.611,4.244
13,2.0,5.195,7.0,3.54,4.144
14,1.0,4.861,1.0,4.861,4.861
15,2.0,5.006,1.0,4.861,4.934
16,2.0,5.006,3.0,4.15,4.672
17,2.0,5.006,4.0,3.653,4.418
18,2.0,5.006,4.0,3.653,4.281
19,2.0,5.006,4.0,3.653,4.199
20,2.0,5.006,4.0,3.653,4.179
21,1.0,5.377,1.0,5.377,5.377
22,2.0,5.739,1.0,5.377,5.558
23,2.0,5.739,3.0,3.948,5.021
24,2.0,5.739,4.0,3.609,4.668
25,2.0,5.739,5.0,3.56,4.447
26,2.0,5.739,5.0,3.56,4.338
27,2.0,5.739,5.0,3.56,4.271
28,1.0,5.15,1.0,5.15,5.15
29,1.0,5.15,2.0,4.273,4.712
30,1.0,5.15,3.0,3.907,4.443
31,1.0,5.15,4.0,3.628,4.24
32,1.0,5.15,4.0,3.628,4.161
33,1.0,5.15,4.0,3.628,4.194
34,1.0,5.15,4.0,3.628,4.183
