,$index_{max}$,$max$,index_{min},min,avg
0,1.0,4.744,1.0,4.744,4.744
1,1.0,4.744,2.0,4.657,4.7
2,1.0,4.744,3.0,3.837,4.413
3,1.0,4.744,4.0,3.476,4.178
4,1.0,4.744,4.0,3.476,4.058
5,1.0,4.744,4.0,3.476,3.972
6,1.0,4.744,4.0,3.476,3.985
7,1.0,5.228,1.0,5.228,5.228
8,1.0,5.228,2.0,4.338,4.783
9,1.0,5.228,3.0,3.761,4.442
10,1.0,5.228,4.0,3.522,4.212
11,1.0,5.228,5.0,3.487,4.067
12,1.0,5.228,5.0,3.487,3.996
13,1.0,5.228,5.0,3.487,4.012
14,1.0,4.854,1.0,4.854,4.854
15,1.0,4.854,2.0,3.707,4.28
16,1.0,4.854,2.0,3.707,4.331
17,1.0,4.854,4.0,3.485,4.12
18,1.0,4.854,4.0,3.485,3.993
19,1.0,4.854,4.0,3.485,3.915
20,1.0,4.854,4.0,3.485,3.876
21,1.0,5.407,1.0,5.407,5.407
22,1.0,5.407,2.0,5.145,5.276
23,1.0,5.407,3.0,3.718,4.757
24,1.0,5.407,4.0,3.618,4.472
25,1.0,5.407,5.0,3.617,4.301
26,1.0,5.407,5.0,3.617,4.274
27,1.0,5.407,5.0,3.617,4.284
28,1.0,4.901,1.0,4.901,4.901
29,1.0,4.901,2.0,4.19,4.545
30,1.0,4.901,3.0,3.871,4.321
31,1.0,4.901,4.0,3.5,4.116
32,1.0,4.901,4.0,3.5,4.006
33,1.0,4.901,6.0,3.497,3.921
34,1.0,4.901,6.0,3.497,3.945
