,$index_{max}$,$max$,index_{min},min,avg
0,1.0,8.436,1.0,8.436,8.436
1,1.0,8.436,2.0,5.422,6.929
2,1.0,8.436,2.0,5.422,6.437
3,1.0,8.436,4.0,4.905,6.054
4,1.0,8.436,5.0,4.718,5.787
5,1.0,8.436,5.0,4.718,5.689
6,1.0,8.436,5.0,4.718,5.581
7,1.0,8.265,1.0,8.265,8.265
8,1.0,8.265,2.0,5.219,6.742
9,1.0,8.265,3.0,5.078,6.188
10,1.0,8.265,4.0,4.816,5.845
11,1.0,8.265,4.0,4.816,5.643
12,1.0,8.265,4.0,4.816,5.532
13,1.0,8.265,7.0,4.778,5.425
14,1.0,8.237,1.0,8.237,8.237
15,1.0,8.237,2.0,5.213,6.725
16,1.0,8.237,3.0,5.079,6.176
17,1.0,8.237,4.0,4.817,5.836
18,1.0,8.237,4.0,4.817,5.636
19,1.0,8.237,4.0,4.817,5.527
20,1.0,8.237,7.0,4.778,5.42
21,1.0,8.038,1.0,8.038,8.038
22,1.0,8.038,2.0,5.179,6.609
23,1.0,8.038,3.0,4.991,6.07
24,1.0,8.038,4.0,4.76,5.742
25,1.0,8.038,4.0,4.76,5.588
26,1.0,8.038,4.0,4.76,5.478
27,1.0,8.038,7.0,4.724,5.371
28,1.0,8.042,1.0,8.042,8.042
29,1.0,8.042,2.0,5.177,6.609
30,1.0,8.042,3.0,5.018,6.079
31,1.0,8.042,4.0,4.771,5.752
32,1.0,8.042,4.0,4.771,5.59
33,1.0,8.042,4.0,4.771,5.481
34,1.0,8.042,7.0,4.74,5.375
