,$index_{max}$,$max$,index_{min},min,avg
0,1.0,3.883,1.0,3.883,3.883
1,1.0,3.883,2.0,1.773,2.828
2,1.0,3.883,3.0,1.771,2.475
3,1.0,3.883,3.0,1.771,2.301
4,1.0,3.883,3.0,1.771,2.196
5,1.0,3.883,3.0,1.771,2.126
6,1.0,3.883,7.0,1.771,2.075
7,1.0,3.68,1.0,3.68,3.68
8,1.0,3.68,2.0,1.945,2.813
9,1.0,3.68,3.0,1.91,2.512
10,1.0,3.68,3.0,1.91,2.366
11,1.0,3.68,3.0,1.91,2.28
12,1.0,3.68,3.0,1.91,2.22
13,1.0,3.68,3.0,1.91,2.176
14,1.0,3.62,1.0,3.62,3.62
15,1.0,3.62,2.0,1.887,2.753
16,1.0,3.62,2.0,1.887,2.466
17,1.0,3.62,2.0,1.887,2.332
18,1.0,3.62,2.0,1.887,2.244
19,1.0,3.62,2.0,1.887,2.187
20,1.0,3.62,7.0,1.878,2.143
21,1.0,3.588,1.0,3.588,3.588
22,1.0,3.588,2.0,1.954,2.771
23,1.0,3.588,3.0,1.936,2.493
24,1.0,3.588,4.0,1.934,2.353
25,1.0,3.588,4.0,1.934,2.272
26,1.0,3.588,6.0,1.909,2.212
27,1.0,3.588,6.0,1.909,2.173
28,1.0,3.611,1.0,3.611,3.611
29,1.0,3.611,2.0,1.956,2.784
30,1.0,3.611,2.0,1.956,2.513
31,1.0,3.611,4.0,1.947,2.372
32,1.0,3.611,4.0,1.947,2.29
33,1.0,3.611,4.0,1.947,2.236
34,1.0,3.611,4.0,1.947,2.203
