,$index_{max}$,$max$,index_{min},min,avg
0,1.0,8.086,1.0,8.086,8.086
1,1.0,8.086,2.0,6.492,7.289
2,1.0,8.086,3.0,6.287,6.955
3,1.0,8.086,3.0,6.287,7.091
4,1.0,8.086,3.0,6.287,7.044
5,1.0,8.086,3.0,6.287,6.991
6,1.0,8.086,3.0,6.287,6.949
7,1.0,8.44,1.0,8.44,8.44
8,1.0,8.44,2.0,6.554,7.497
9,1.0,8.44,3.0,6.386,7.127
10,1.0,8.44,3.0,6.386,7.055
11,1.0,8.44,3.0,6.386,6.956
12,1.0,8.44,3.0,6.386,6.918
13,1.0,8.44,3.0,6.386,6.855
14,1.0,8.11,1.0,8.11,8.11
15,1.0,8.11,2.0,6.866,7.488
16,1.0,8.11,3.0,6.629,7.202
17,1.0,8.11,4.0,6.534,7.035
18,1.0,8.11,5.0,6.315,6.891
19,1.0,8.11,5.0,6.315,6.837
20,1.0,8.11,5.0,6.315,6.844
21,1.0,7.645,1.0,7.645,7.645
22,1.0,7.645,2.0,6.671,7.158
23,1.0,7.645,3.0,6.318,6.878
24,1.0,7.645,3.0,6.318,6.742
25,1.0,7.645,3.0,6.318,6.664
26,1.0,7.645,3.0,6.318,6.717
27,1.0,7.645,3.0,6.318,6.698
28,1.0,7.886,1.0,7.886,7.886
29,1.0,7.886,2.0,6.296,7.091
30,1.0,7.886,3.0,6.153,6.779
31,1.0,7.886,3.0,6.153,6.718
32,1.0,7.886,3.0,6.153,6.71
33,1.0,7.886,3.0,6.153,6.665
34,1.0,7.886,3.0,6.153,6.606
