,$index_{max}$,$max$,index_{min},min,avg
0,1.0,7.149,1.0,7.149,7.149
1,1.0,7.149,2.0,6.549,6.849
2,1.0,7.149,3.0,6.183,6.627
3,1.0,7.149,3.0,6.183,6.647
4,1.0,7.149,3.0,6.183,6.616
5,1.0,7.149,3.0,6.183,6.566
6,1.0,7.149,3.0,6.183,6.525
7,1.0,7.343,1.0,7.343,7.343
8,1.0,7.343,2.0,6.651,6.997
9,1.0,7.343,3.0,5.99,6.661
10,1.0,7.343,3.0,5.99,6.546
11,1.0,7.343,3.0,5.99,6.465
12,1.0,7.343,3.0,5.99,6.443
13,1.0,7.343,3.0,5.99,6.406
14,1.0,7.87,1.0,7.87,7.87
15,1.0,7.87,2.0,6.2,7.035
16,1.0,7.87,3.0,5.966,6.679
17,1.0,7.87,3.0,5.966,6.59
18,1.0,7.87,3.0,5.966,6.499
19,1.0,7.87,6.0,5.911,6.401
20,1.0,7.87,6.0,5.911,6.344
21,1.0,7.566,1.0,7.566,7.566
22,1.0,7.566,2.0,6.538,7.052
23,1.0,7.566,3.0,6.309,6.804
24,1.0,7.566,3.0,6.309,6.825
25,1.0,7.566,3.0,6.309,6.825
26,1.0,7.566,3.0,6.309,6.758
27,1.0,7.566,3.0,6.309,6.709
28,1.0,7.443,1.0,7.443,7.443
29,1.0,7.443,2.0,6.363,6.903
30,1.0,7.443,3.0,6.028,6.611
31,1.0,7.443,3.0,6.028,6.54
32,1.0,7.443,5.0,6.011,6.434
33,1.0,7.443,5.0,6.011,6.403
34,1.0,7.443,5.0,6.011,6.351
